"Sequence","Score"
"3/XX1/9/11XX4/63","162"
"-54-XX5/XXX7/8/7","186"
"X6/X2-XX-/X43X25","155"
"X6/7/31XX354/1/1/9","144"
"-78-X9/X-/439/8/2/5","141"
"XXXX9-7-1/33X3/3","176"
"5/3/121/2/538/8-538/X","116"
"323/6313524271337/9-","89"
"9/7-185/XXX9-XX-5","175"
"8/X36XXX2-X2/4/7","165"
"35338/X2-X1/X-/X51","144"
"X8-9/XX8-1423X4/9","149"
"X5/5-5/9-5/XXX7/6","181"
"1/53X5/3/XX7-5/9/8","164"
"9/X814/X811/X5/X7-","173"
"1/XX819/X6-XXX81","195"
"71X8/5/4/6-616/X1/8","144"
"-/XX9/11X9-3/-916","136"
"7/X7/XX7/-/X1/X22","191"
"7/9/X9/2-5-8/X4/51","139"
"9/3/XXX-/-5X3/7-","162"
"63X423/X52XX235/4","131"
"XXX6/X1/7/XXX-2","215"
"9-8/-9X6-2/XX5-23","120"
"X3/X8-1162X3/8-X8-","140"
"XX226/X9/36X431/3","139"
"X1/-/2/4/9/X8/36X-9","156"
"XX8/X14X6/7/X3/3","178"
"-35/53X-9X8/X216-","116"
"8/X8-2-7/XX231/XX","150"
"32X3-X1/9-51X35X3-","114"
"9/1/X8-8/61X3/-78/2","129"
"XX61729-8-XX5/X52","158"
"9-X9-XX3617X319-","123"
"328/-/3-3/3152XXX72","131"
"XX278/51411/X7/-/4","140"
"X62X5-X238/9-8171","111"
"X539/X9-X316/8/53","133"
"XX154/725/6/819/3/2","137"
"3/3/XX6/-/9-9-229-","139"
"53-/339/XX144/711/1","124"
"3/36X4/X1/3/4/5/44","146"
"XX7/63X3/2/XX6/7","187"
"XX7/X8/XX149-8/-","167"
"XX9-XX3/3/6-81X73","164"
"5/X176/9/X6/XX9/5","189"
"1/X151/2/2/X638/9/6","149"
"-97/3/157-41525181X54","92"
"4/348/X1/X34XX9/4","167"
"X-62/9-3/X-0138/XX","124"
"226/-/5/2/X3625X4/7","133"
"XX164/5/X7/4172X22","142"
"225/7/X9-1/3/3/7-XX","139"
"XX2/XXX3/X26X6-","197"
"3/8161XXXXX415-","173"
"X24262/X617/1/8/X35","141"
"523/327/4/5/-39/X35","113"
"X6/-/4/X62XXXXX","200"
"XX138/24137/-/448-","101"
"X9/XX-78/9-6-X5-","138"
"X7/428/8/7-315/31X62","121"
"8/X8-8-4/639-4/1-X41","115"
"1212X9/41XX1/327-","111"
"62314/7/54X5316X-5","106"
"522/1--/X-/-6XX8/-","133"
"421-X1/2/X-/34X9/7","136"
"X61X1/-/71X8/2/-/X","141"
"9/X2345233/X8/XX9-","162"
"51-/2/3/62X3/8/9/25","131"
"13-09/X4/7/7-X8/X62","143"
"6/5/X7-X8-3/349-6/3","127"
"2/XXXX-/228/X81","184"
"541/4/314-XX-3-81/X","108"
"-9X119/6/54X333/3/1","109"
"XX9--79-8-8/3/-/X45","143"
"36-3X25X9-2-6/9/X91","125"
"9-257/1/X623-3/X1/5","131"
"X-/6/X2/11X51345/5","133"
"X-/XXX815-5/X6-","173"
"81XX2/2/7/8/XXXX","198"
"2/3334X9--/6/9/4-9/8","125"
"X363/X7/-/X4/XXX","188"
"8-9-3/XXXXX-26/3","174"
"XXXX3-9--/9-XX35","177"
"7/9/8/X81XX9/-/6/9","179"
"X8/1-X8/277/2/X8-","131"
"XXXX6/-/X4/14-0","172"
"21721/X-/X9-X54X91","148"
"51367/XX5/X8-11X8-","146"
"X159-XXXXXX9/6","216"
"-01-X5-241/X41121/3","83"
"4/8/9/X514/9/XX1/1","170"
"X7/2/9/8127-/-2XX7-","143"
"31X7/7/XX312/8/XX","160"
"4/X5/9/415-3/7/52X43","139"
"9-3-7/9-2/9/X-8XX54","149"
"1-1/24811/6/5/7/1/6/5","118"
"2/367/61718-2/1/XX-X","132"
"1-X32XX8/3312X-0","101"
"4/2/4/9/2/5/X9-XX3-","156"
"8/6/8/9-X9-9/3/X5/4","157"
"X7/8/24X9/X3/8/13","149"
"XX61XX43X9/2/-9","149"
"62XXX6-2/9-X-5XX","154"
"9-X4/X6/2/XX3434","155"
"44XX9/-/XX51-/-/2","156"
"3/1/9/1/6/X8-X2/71","148"
"1/-6331/XXXX8/3/5","178"
"XX4/9-544/X8-5/51","148"
"9/X2253XXX6/XX43","183"
"9-2/8-XX1-819-9-2/X","115"
"1/X7/8113X61X3/53","138"
"X8/622/XX161/7/1/5","152"
"XX32139-2/XX8/X21","157"
"XXX9-XX9-448-8/1","171"
"-/X-/X3/X-/X4335","172"
"454354713/8/7-549-72","102"
"1/1/819/2/XXXX6/1","187"
"6/X6/XX9-23815/3/-","154"
"9-X63413/X7/435/42","123"
"XXXXX9-3171-67/3","178"
"36XX8/9/23X815/6/7","154"
"135/3/X7/XX7/5-X36","163"
"X6/-48/XXXX5/8/9","196"
"7/8-9/-/5/1/X6/X7/6","158"
"X63XX9-X23X7/4/8","157"
"273/XXX8/X2/9-X91","195"
"4/266113X8145-8X6/6","112"
"8/9/7/X8/XX6--5-1","150"
"9/4/9/X4/X5-7/X1/-","163"
"4/X51X71X-/72XX82","162"
"4--96/-2XX6/5/2/X1-","129"
"6-XX728/X525/8-X42","147"
"XX2/6-7-X6/2/5-X3-","136"
"X31XX1/X7/X71X52","162"
"4/X26X4-X2/722/7-","134"
"X51X7/2-9--7-/4353","101"
"X226-5/9-X413/6271","104"
"8-9--/1/3/25256333X26","100"
"2/2/XX8/8/X145/X9-","177"
"X811/X-514X3/2/45","128"
"3/X7-3/XX813-6--/2","141"
"44X6/X1/8/X-85/22","148"
"X21-/X234/XXXX61","179"
"X8/3-6133X9/XX33","134"
"8/9-2/36X718/4/7/X8-","145"
"X3/8/1/XXXX715/6","198"
"-25/6/8--/34X-/9/9/2","134"
"3-43XX527-7/2141XX","106"
"X328/622/8/455/-/9/6","130"
"4/6-X3/X-/6/XXX53","191"
"14XXX1/8/-5-/X-1","141"
"X72XX7113188-625/2","122"
"1-25XX2/X3/2/4/X71","154"
"33X-09/5/XX9/2781","130"
"1821266251XXX26X26","130"
"1/5/27X-/X123/X2/X","152"
"6/1/535/9/9/1/166118","117"
"63X2/X42XXXX1/5","187"
"8--39-6/XX1/X518-","131"
"X626/1-5/X3-XX5/3","132"
"4--/722/4/X-9111/X82","134"
"-663XXX6/21X7/8-","152"
"8-63XX18511/XXX28","164"
"42X34-/XXX228/X53","158"
"3/5-81639-X2-2/9-4/6","105"
"814/1/2/11256/126-2/7","89"
"9/XX4-32X54X4/2-","129"
"-5X5/XX7-7-X4/-5","138"
"4-X1/1661X549/X8/-","127"
"2/-/1/7/X51-0XX7/2","139"
"X535/X7/XX8/8/-/9","181"
"7/8-8/X-09-2/X316/X","123"
"5/6-4/XXX-/5/81X-3","167"
"7/8/X2/X3/8/6/-/X9-","181"
"-/XXX1-X637-7-X54","144"
"-/628-XX9-16X6261","129"
"X81X2/-2XXXX9-","177"
"8/X5/8/X8/X7224X-3","165"
"3/XXX8/X413/XX14","194"
"X51XX9/XX5/5/17","170"
"X26XX8-71X-9219/2","131"
"8/5/2/72X9/8-X6/9-","147"
"X2/X31XX-3184226","117"
"XXX4-X-/6/7/6/-/1","162"
"6/6/718--47/1/81X53","117"
"XX-9XXX8/XX7/9","212"
"X4/3-34-87/817/522/7","117"
"9/3/26X6/5/7/273-X21","122"
"8-9/1/XX3127X5/X31","143"
"1/-19/X53XX8/7-7/7","146"
"X639/3/6/3/8/5/XX8-","169"
"X11XXX3/XX9-2/4","178"
"-/3-7-8/X4/X5/6161","133"
"6/45X4/X5/9-XX33","156"
"3/4/X1/X16-/1/X36","157"
"2/3/3/334/X-86/X9-","139"
"12X434/335/25XX44","115"
"4/X41XXXX81X9-","184"
"51719-X8-9-X8144XX","114"
"6/1/1/-/X723/3/X5/7","150"
"443/X5/62518/XX23","140"
"513/8/8/36-/724/9/6/2","137"
"23618-6-XXX9/XX4-","163"
"6-541/XX9-X62X72","146"
"X1216716/-63/12-/X71","99"
"812/16-/XX5/X614/8","154"
"XXX72XX1-71XX11","159"
"X54X2/XXX4/5-XX","182"
"X8/2/X8/8-8/3/XX9-","179"
"3/719/X1/X81X8-X55","159"
"8-4/4/-/7117363/2-5/8","106"
"5/X63X5/61X353452","131"
"2/X7/XX5/9/3/XX82","205"
"-/3/8-2/X4/-/X8-32","140"
"5/XX1/X13XX6/51","166"
"9/7/X4/7-51X62X8/8","151"
"81628/3/324/713/5/-7","105"
"331/2/-/1/X3/X6-X24","137"
"725/4151XXX21X-/3","135"
"24X5/XX9-269-X71","146"
"62348/XX6/2111X1/X","138"
"1/6/4-X4/6135XX9-","142"
"72615/8-X4/345/8/X73","140"
"X1/3/2/XX1/54XX-2","162"
"8/14145/X4/X6/XX22","157"
"6/X-17/35436/-1XXX","121"
"536/4/8/616-XX548/9","141"
"418-1/XX12X3/X6/2","142"
"1/51X8/X2-9--/2/X7-","133"
"12XX14132/9-8/-/X46","126"
"7/7/X3/9-5/81X81X51","156"
"XXXXX9-451/X9-","204"
"4/X5/XX-0XX512/9","156"
"34X175/22X72XX4/1","132"
"2/-/X-/XXXX2/16","190"
"X5-3/XXX3/629/5/-","162"
"44-73/9/369-XXXX8-","171"
"XX5/8-43116/X8-31","130"
"4/9/XXX3/18XX5/X","197"
"4/72542/52XXX6-4/2","147"
"X519-X2/2/6-7/XX14","141"
"4372X8/X2/63X45XX","149"
"XX2/1/X4/5/7/2/5-","157"
"6/-48/XXXX141-9-","145"
"X223-2481X8/-/1/X4-","111"
"1/351/X4/268/X7-3/8","143"
"XXX33X9/6/3/X8/2","176"
"3/8/9-219-4/5/X36X-4","135"
"9/425/-/4-633/71213-","88"
"X-99/7-2/7/8/XX2/5","164"
"2/9-1/4/7/XXX268/1","168"
"719/8/7/714/-77/XX46","149"
"32-/X1/51X817/5/X9-","148"
"X2/7/8/2-622/9-X2/4","139"
"1/X1/1/-/2-3/XX4/7","156"
"XXX2333-8X8/4-X63","143"
"72-/9-X24723/6/3432","109"
"X5/358/X812/1/6/X-2","148"
"4/XX6-6/41-39-3235","112"
"4/61XX8-9-X7/X11","140"
"81X5/-/6/6/819-7/63","132"
"X9/-/-/XXX8/2/18","170"
"4/2/XX72X62-/XX-3","166"
"4/45X275-9-7-3/X9/8","130"
"XXXX7/1/13X9/7/6","186"
"1/4/22-535XX6/729-","124"
"4/X137/9/X8/6-XX72","165"
"4/9/814/9-3/3/4/4/81","142"
"21-/X364172427-279-","96"
"7/62XXX5/6/XX5/5","195"
"9-8/3/X3/-94/5/8/-/9","143"
"723/1/2/9/41-/35123/4","108"
"X6--93/348/-/3/2/42","106"
"X1/XX6--/X7/9-7-","163"
"351/9-XX53X72624/6","139"
"XX8/X9-2/X6/5/XX","191"
"31X219/X7/5/XX9/4","158"
"X4/2616X415/5/61X9-","124"
"51X9/X722/-22/XX73","153"
"8/8-8/X2/X3681-/9/4","156"
"9-8/X16X62X2/X5/X","159"
"X-811X9/221/X713/4","124"
"4/6/51256/44X3/45X25","126"
"714/8/9/X5/5/-/8/3/4","155"
"5/X5-XX2231533/7/5","124"
"62XXX6/4/X81169-","162"
"XX332/41X9/X43X51","144"
"8-2/X1-8/14X6/149-","101"
"3/X8/X4-XXXXX7-","212"
"2/X63X3/43-/11X17","128"
"6/X9-9-53XX2/X8/9","166"
"4/63247/3/5/727/-6-9","110"
"X44X1/-8XXXXX-9","193"
"419-52XXX33334172","116"
"XXXX3/34XX9-45","189"
"8/X13X1/8-4/X44X9-","149"
"X2/265/X72-/X9/3/9","160"
"4/2-X2/XX1/-/X9-","153"
"X3/X7/2/41-5XXXX","176"
"9/7/2/9/-/X71XX63","158"
"5/4/X166281X9-X72","131"
"XX7/2/5-X63X6/7/8","162"
"45X324/7/XXX7-X1-","158"
"3/7181X36XX549-X41","139"
"8/8/8/2/X8-X25-461","129"
"7/9-XX1/9-X6/6/-5","148"
"4562X3/6/7/2/X7/52","144"
"43819/X43X81-0XX28","130"
"5/8/2/81X-/6-9-2/43","129"
"3/7/XXX4/8-X9-1/8","183"
"9/1-8/45X54X7/2/81","122"
"7/8/2/XX72-971XX9-","170"
"2-7/8-44XXXXX21","164"
"1/62314-X3/X6/4/3/1","130"
"3/X9/7-722-9-361/9/6","128"
"6/9/X53XXX179-X54","170"
"41X7/34X8/1/3/6/X82","145"
"X7/41-/8-4/9/713/X72","148"
"X-13/X3/5/X6/613-","133"
"9/XX2781X-5X5/53","142"
"XX715/XX5/X4234","167"
"X1/3/X7/9-4/-7X4/8","156"
"1/7/X5/7/529/8-9-X1-","142"
"X6/XX714/527/X5-","155"
"-33/35X3/XX63XX4-","156"
"15X536/6/XXX25X16","161"
"161/X7111XX9-XX32","150"
"7-X1/X9/8/1/X7-X51","156"
"5/8/X-7613/8-X1/6/1","142"
"4481-68-8/XX4/-/X42","141"
"4/246/7/X7-216245X71","117"
"7/6/XXX155/9/7/9-","173"
"X119-X4563X3/XX21","135"
"6/XX1/52X637/XX43","172"
"-/XX-/X12XX-/8/1","165"
"-63/-/424-2/6/8-2/X43","119"
"X8/7-9/8127X7/7-XX","144"
"335181335/-/XX1/53","121"
"1/543412XXX3/XX9-","175"
"7/9/434-X3/4/XX2/1","151"
"9-XX9/X5/6/2/XX2-","180"
"3-365/X9-X9/2/81-/2","131"
"XX-9XX-17/3/X8-","139"
"1-6-2/7/9/4/X-4X3/-","125"
"41X9/8/X5/7/1/811/5","153"
"X1/22XXX9/6/1-3/-","153"
"7-X7-7/3/31726-2-81","87"
"817-63816/1/X-/XX12","139"
"8-63X7/4/7/18X441/4","128"
"X1/2/72813/X632-11","119"
"2/449/63XX11X1251","104"
"XX9/X9-1/45632/XX","169"
"6/32-/62XX9-7/6-62","129"
"XX2/5471-19-729-X82","122"
"-05/45X81XXX6133","137"
"3/X21422/9/X4-XX72","145"
"X8/3211818-X455/14","101"
"3/4/X9/6-6211X4/63","131"
"XX3/XX3/235/X4/4","177"
"3/X1/-/6/X5/11534/9","146"
"-2446/X44XX4/X81","148"
"X9-159-458-513/8-7/6","108"
"331/4/X714-XX4/X81","153"
"274/X1/54131-1462-9","100"
"X8-6312167/XXX63","149"
"X8/-/6-3/X3171X8/5","133"
"-4X4-9/8/7/X4527X64","134"
"629-2/5/X9-2/2/-471","114"
"X1/6-XXX8/7/X4/2","189"
"XX-/X8/X5/X2/12","174"
"2/3--/626-4153417-9-","80"
"-/7/8-4/X-6349-9/4/4","129"
"81-68/17-/7/22222217","83"
"61X2/62X6/X721/5/-","144"
"819-1/6/241/184/9/X72","130"
"X3/XX8/X6/-/XX63","203"
"329-9/814/8/7/X1315","120"
"3331XX8/2/X6--/9-","140"
"44X45218-42625/8/X91","119"
"-29/-/X3/12X5-X5/2","118"
"2342XXX4/2/24XX37","158"
"54X9-9--/X262/-3X45","124"
"8-XX5/X9-XX2/-/-","163"
"7/XX241/1/X4/8/5/X","168"
"X-9X326/X3/6/6/5/-","145"
"1/455/X5/X4/4/X54","165"
"XX-57-9/X61XX13","130"
"16X44X9/X8/7-63X62","144"
"9/XX3/3/4/X1/XX82","198"
"4/XX-/5/9/332-X9/X","155"
"X7-7/8/9--/24618/X31","129"
"XXX5/8/7-117/1--/5","146"
"259/9-X5/3-4/XX9-","148"
"-6X4-X8/X632-6-9-","109"
"1/8-8/4/-/8/7-XXX17","161"
"1/7/6/-8-42/62-/-/61","112"
"9-X5/3-XXX8/41X64","162"
"X4/X16X5-X625315","124"
"53X2/818/6/41136/81","121"
"X-/XXX712/-4438/5","159"
"7/XX1/X1/1252X71","148"
"X18718/X-88-1-3281","105"
"XX5-72XX329/8-9-","132"
"X62X7/9-26XX5/9-","155"
"X6/8/2/12X71X522/6","130"
"3-4/1-X5-22356/1/8/-","86"
"5-7181X7-9/218/X44","107"
"X9/XX9-2352-/5/X31","158"
"1562X9/52X-8613-3/5","107"
"X6/X4/6/-37-413/12","115"
"7/8/227/127/7/2/7115","108"
"5/8-2/XX1/81XX6/6","176"
"X248/1-2/12536/22XX","92"
"5/4-1-34719/-/243/X41","97"
"X114/X-3X-01/5261","89"
"4/3-8-1/8125346-XX22","107"
"1633447/635-44622/X51","103"
"-67/X-/4/25X1/6/4/4","143"
"5/-/8/1/18263/6/XX41","142"
"X32X2/5/625-12XX-7","124"
"X9/2717X427/8181X35","125"
"4/9--/4242X7/42XX9-","142"
"8/615/1/33X21814/X35","116"
"3531X5-72X3/9/3/2/9","124"
"XX1/-48/X9-6/9/X46","162"
"X-56/18-/8/31XX7/X","142"
"728-8131X17X8-9/X9-","121"
"X718-5/X8-62442254","109"
"5/175-26X3/1/7/9/X53","137"
"X7/2/XX6/X5/5-7/4","172"
"81X5/516-11X4/XXX","148"
"X9/X8/XXX16X51","177"
"6/X-034X2/7233X1-","101"
"1/4/X9-729-7/9-458/7","134"
"X6/2/X5-7-9/XX3/8","160"
"XX814/XX1/XXXX","217"
"X5/XX6/2/6/5/XX9-","197"
"X-/4/X7-X3/XX8-","172"
"X722/17XXXX6/33","172"
"6314426/31X9-8/727/X","111"
"X9-7/63X6/9/X511/4","148"
"6--/279-X525/9/8/15","114"
"8/X21XXX9/X45-/6","179"
"-/3/9-7/22X61X5/X81","140"
"X3/3/7/X71XX452/8","166"
"5/X7/9/43X9/X367-","155"
"8/51X7/3/1/422/X21","121"
"7/-/X817-72X2/X15","136"
"4454XXX211/17XX91","153"
"XX-/6/9-4/11XX7/8","162"
"3/X3/XXX1/X6-61","180"
"X3-8/188/XX63X-3","126"
"23522/139-3/7/X2/X45","132"
"2--/-/X4-X8/-96/9/7","125"
"X8-7/8-61XX81X2/X","155"
"51141-6-5/34XX-/9-","106"
"X27X-/5-XX267/X43","153"
"X4/X8-9/61X2/4412","134"
"X62313/8/9/9-3/X72","143"
"9-X9-X7/817131131/9","119"
"-1XX544111813/X9/7","127"
"5/X53XX619/36X4/6","154"
"2/-0XX6/X-/4-X61","138"
"23-33/X1/X2571166-","113"
"X7236X-7518/4/27X91","122"
"7/7/-44/X618-8-81X91","120"
"9/X6/4/7/9-24138/3/1","133"
"319/9/8/-91/433/7/X33","134"
"XX-2XX359-XX-9","140"
"2/8/9-4371XX9-X63","146"
"X24XX2/9-X5/8/X--","160"
"9/4311X7225X631/-7","103"
"1/358/7/X-7X-11/18","114"
"X2/3/XX265/1-X8/3","146"
"4/724/XX8/52X4/53","159"
"X4/X2/35813/2/XX9-","170"
"X8/X-3623/36719/XX","134"
"7-9-X9-35X7/X9/X28","152"
"5/X6/61X9/X329/71","148"
"41267/4/9/X3/81XX61","156"
"15XX4-7/2/X4/6-X33","138"
"X9-XX33-851527/-/X","124"
"26X7--9X9-2/X5-18","118"
"X3-X524/7-7/X1/3/X","137"
"2/7/9-X-5XX8-7-2/1","137"
"6/42XX45XX349-X27","147"
"2/5/3/62X8/XX5432","150"
"1/9/636-2/-/7-8-9-X12","114"
"3/XXXX6/365/3/X--","191"
"4/XX7113XXX115/7","159"
"2/539-6-X9/X4/-/-/6","134"
"XX9/XX7/X8/XX62","220"
"23X51-/8/531/XX5/1","144"
"XX9--1XXX456/-/9","169"
"9/X1/2/XX-/XX8/9","199"
"9-XXXX9/X9-X72","194"
"X1/7/624526XX5233","133"
"7/7/-69/819-X7-5/-6","109"
"1/X2/7/-18/2/XX6/9","165"
"8/1/X184/9-335144X64","127"
"328/35X8/81323/9/X-X","137"
"4/9/XX5/X9/15-/8/8","177"
"-/338-6/XX5/-13/X9-","142"
"X5/424-52XX7/33X21","130"
"3/9/3/X7/9-X-/X6/4","174"
"9/X4/627/X9-X7142","144"
"8-XXX6333X2/8/61","159"
"1-2622X6/61116/9-8/6","102"
"X1/X819-4421X2644","122"
"1/4/X9/X2/5/-29/X-2","153"
"9-2/171/-1XX54XX-5","127"
"3571X717/-/X5/X-/X","152"
"2/2/-62/9-6/3/63X1/6","130"
"4/XXX27628/X135/X","166"
"-65-62X53XXX35X64","144"
"6/54-9XX-82/5/3/1/9","137"
"621/7/XX818/-234X32","135"
"XX-5-/2/3/8/XX-/3","156"
"5/X3/615/-/8/8/XXX","179"
"4/XXX143-X3-5/16","128"
"45X72X7/9/XX4/X32","175"
"-0521/4/X24X1/6/X54","138"
"81X8/9-XX449/8/X72","164"
"42XXX1-3412X5151","107"
"1/X5-2-X8-8/-/X4/3","131"
"X-1X-2-/7/5/X7-9/4","116"
"XXXX6326253/X2/X","189"
"1/1/9/X-7X7/X3/8/X","172"
"X22X6/2/XXXXX81","207"
"8-9/3/X5/X-33/XX8-","163"
